Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Functional Body Composition v2,8,50,1,Leg Press,4,10-12,3-1-1-0,120s,6,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,8,50,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,6,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,8,50,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,6,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,8,50,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,6,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,8,50,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,6,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,8,51,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,8,51,2,Self-Powered Treadmill Sprints,3,20 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 3 sets x 20 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,8,52,1,Romanian Deadlift,4,8,3-1-1-0,120s,6,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,8,52,2,Lat Pulldown,4,10,3-1-1-0,90s,6,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,8,52,3,Seated Row Machine,3,12,3-1-1-0,90s,6,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,8,52,4,Cable Face Pulls,3,15,2-2-1-0,60s,6,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,8,52,5,Plank Hold,3,45s,N/A,60s,6,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,8,53,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,8,53,2,Steady Tempo Bike,1,20 min,N/A,,6,"Continuous steady effort for 20 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,8,54,1,Goblet Squat,4,12,3-1-1-0,90s,6,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,8,54,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,6,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,8,54,3,Cable Row,3,12,3-1-1-0,90s,6,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,8,54,4,Walking Lunges,3,12/leg,2-0-1-0,90s,6,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,8,54,5,Farmer Carry,3,40m,N/A,90s,6,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,8,55,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,8,55,2,Rowing Machine,3,2000m,N/A,240s,8,3 x 2000m at 2:00 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,8,56,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,9,57,1,Leg Press,4,10-12,3-1-1-0,120s,6.5,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,9,57,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,6.5,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,9,57,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,6.5,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,9,57,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,6.5,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,9,57,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,6.5,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,9,58,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,9,58,2,Air Bike Sprints,3,22 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 3 sets x 22 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,9,59,1,Romanian Deadlift,4,8,3-1-1-0,120s,6.5,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,9,59,2,Lat Pulldown,4,10,3-1-1-0,90s,6.5,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,9,59,3,Seated Row Machine,3,12,3-1-1-0,90s,6.5,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,9,59,4,Cable Face Pulls,3,15,2-2-1-0,60s,6.5,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,9,59,5,Plank Hold,3,45s,N/A,60s,6.5,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,9,60,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,9,60,2,Steady Tempo Treadmill Run,1,23 min,N/A,,6,"Continuous steady effort for 23 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,9,61,1,Goblet Squat,4,12,3-1-1-0,90s,6.5,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,9,61,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,6.5,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,9,61,3,Cable Row,3,12,3-1-1-0,90s,6.5,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,9,61,4,Walking Lunges,3,12/leg,2-0-1-0,90s,6.5,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,9,61,5,Farmer Carry,3,40m,N/A,90s,6.5,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,9,62,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,9,62,2,Rowing Machine,3,2000m,N/A,240s,8,3 x 2000m at 1:59 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,9,63,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,10,64,1,Leg Press,4,10-12,3-1-1-0,120s,7,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,10,64,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,7,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,10,64,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,7,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,10,64,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,7,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,10,64,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,7,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,10,65,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,10,65,2,Self-Powered Treadmill Sprints,4,22 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 4 sets x 22 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,10,66,1,Romanian Deadlift,4,8,3-1-1-0,120s,7,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,10,66,2,Lat Pulldown,4,10,3-1-1-0,90s,7,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,10,66,3,Seated Row Machine,3,12,3-1-1-0,90s,7,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,10,66,4,Cable Face Pulls,3,15,2-2-1-0,60s,7,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,10,66,5,Plank Hold,3,45s,N/A,60s,7,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,10,67,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,10,67,2,Steady Tempo Bike,1,26 min,N/A,,6,"Continuous steady effort for 26 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,10,68,1,Goblet Squat,4,12,3-1-1-0,90s,7,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,10,68,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,7,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,10,68,3,Cable Row,3,12,3-1-1-0,90s,7,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,10,68,4,Walking Lunges,3,12/leg,2-0-1-0,90s,7,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,10,68,5,Farmer Carry,3,40m,N/A,90s,7,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,10,69,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,10,69,2,Rowing Machine,4,2000m,N/A,240s,8,4 x 2000m at 1:58 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,10,70,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,11,71,1,Leg Press,4,10-12,3-1-1-0,120s,7.5,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,11,71,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,7.5,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,11,71,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,7.5,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,11,71,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,7.5,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,11,71,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,7.5,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,11,72,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,11,72,2,Air Bike Sprints,4,24 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 4 sets x 24 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,11,73,1,Romanian Deadlift,4,8,3-1-1-0,120s,7.5,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,11,73,2,Lat Pulldown,4,10,3-1-1-0,90s,7.5,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,11,73,3,Seated Row Machine,3,12,3-1-1-0,90s,7.5,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,11,73,4,Cable Face Pulls,3,15,2-2-1-0,60s,7.5,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,11,73,5,Plank Hold,3,45s,N/A,60s,7.5,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,11,74,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,11,74,2,Steady Tempo Treadmill Run,1,29 min,N/A,,7,"Continuous steady effort for 29 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,11,75,1,Goblet Squat,4,12,3-1-1-0,90s,7.5,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,11,75,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,7.5,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,11,75,3,Cable Row,3,12,3-1-1-0,90s,7.5,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,11,75,4,Walking Lunges,3,12/leg,2-0-1-0,90s,7.5,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,11,75,5,Farmer Carry,3,40m,N/A,90s,7.5,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,11,76,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,11,76,2,Rowing Machine,4,2000m,N/A,240s,8,4 x 2000m at 1:57 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,11,77,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,12,78,1,Leg Press,4,10-12,3-1-1-0,120s,8,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,12,78,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,8,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,12,78,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,8,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,12,78,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,8,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,12,78,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,8,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,12,79,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,12,79,2,Self-Powered Treadmill Sprints,5,24 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 5 sets x 24 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,12,80,1,Romanian Deadlift,4,8,3-1-1-0,120s,8,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,12,80,2,Lat Pulldown,4,10,3-1-1-0,90s,8,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,12,80,3,Seated Row Machine,3,12,3-1-1-0,90s,8,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,12,80,4,Cable Face Pulls,3,15,2-2-1-0,60s,8,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,12,80,5,Plank Hold,3,45s,N/A,60s,8,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,12,81,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,12,81,2,Steady Tempo Bike,1,32 min,N/A,,7,"Continuous steady effort for 32 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,12,82,1,Goblet Squat,4,12,3-1-1-0,90s,8,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,12,82,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,8,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,12,82,3,Cable Row,3,12,3-1-1-0,90s,8,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,12,82,4,Walking Lunges,3,12/leg,2-0-1-0,90s,8,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,12,82,5,Farmer Carry,3,40m,N/A,90s,8,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,12,83,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,12,83,2,Rowing Machine,5,2000m,N/A,240s,8,5 x 2000m at 1:57 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,12,84,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,13,85,1,Leg Press,4,10-12,3-1-1-0,120s,8,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,13,85,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,8,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,13,85,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,8,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,13,85,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,8,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,13,85,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,8,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,13,86,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,13,86,2,Air Bike Sprints,5,25 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 5 sets x 25 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,13,87,1,Romanian Deadlift,4,8,3-1-1-0,120s,8,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,13,87,2,Lat Pulldown,4,10,3-1-1-0,90s,8,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,13,87,3,Seated Row Machine,3,12,3-1-1-0,90s,8,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,13,87,4,Cable Face Pulls,3,15,2-2-1-0,60s,8,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,13,87,5,Plank Hold,3,45s,N/A,60s,8,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,13,88,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,13,88,2,Steady Tempo Treadmill Run,1,35 min,N/A,,7,"Continuous steady effort for 35 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,13,89,1,Goblet Squat,4,12,3-1-1-0,90s,8,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,13,89,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,8,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,13,89,3,Cable Row,3,12,3-1-1-0,90s,8,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,13,89,4,Walking Lunges,3,12/leg,2-0-1-0,90s,8,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,13,89,5,Farmer Carry,3,40m,N/A,90s,8,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,13,90,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,13,90,2,Rowing Machine,5,2000m,N/A,240s,8,5 x 2000m at 1:55 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,13,91,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,14,92,1,Leg Press,3,10,3-1-1-0,120s,5,70% of working weight. Focus on perfect form and control.
Functional Body Composition v2,14,92,2,Dumbbell Bench Press,3,8,3-1-1-0,90s,5,"70% of working weight. Slow tempo, technique focus."
Functional Body Composition v2,14,92,3,Cable Chest Fly,2,12,3-1-1-0,60s,5,"Light weight, focus on mind-muscle connection."
Functional Body Composition v2,14,92,4,Plank Hold,2,30s,N/A,60s,5,Easy hold. Focus on breathing and bracing.
Functional Body Composition v2,14,93,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,14,93,2,Air Bike or Self-Powered Treadmill Sprints,2,15 kcal,N/A,180s,7,"DELOAD: Half volume, no all-out effort. 70% intensity. Focus on form and breathing."
Functional Body Composition v2,14,94,1,Romanian Deadlift,3,8,3-1-1-0,120s,5,70% of working weight. Perfect hip hinge pattern.
Functional Body Composition v2,14,94,2,Lat Pulldown,3,10,3-1-1-0,90s,5,"70% of working weight. Full range of motion, slow negative."
Functional Body Composition v2,14,94,3,Cable Face Pulls,2,15,2-2-1-0,60s,5,Light. Shoulder health and mobility focus.
Functional Body Composition v2,14,94,4,Dead Hang,2,30s,N/A,60s,5,"Relax shoulders, decompress spine. Grip work."
Functional Body Composition v2,14,95,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,14,95,2,Easy Tempo Run or Bike,1,15 min,N/A,,5,"DELOAD: Easy continuous effort. 50% of normal volume. Keep heart rate low, focus on breathing rhythm."
Functional Body Composition v2,14,96,1,Goblet Squat,3,10,3-1-1-0,90s,5,"70% of working weight. Deep squat, focus on mobility."
Functional Body Composition v2,14,96,2,Incline Dumbbell Press,2,10,3-1-1-0,90s,5,Light. Technique and range of motion focus.
Functional Body Composition v2,14,96,3,Walking Lunges,2,10/leg,2-0-1-0,90s,5,Bodyweight or very light. Balance and stability focus.
Functional Body Composition v2,14,96,4,Farmer Carry,2,30m,N/A,90s,5,Moderate weight. Posture focus.
Functional Body Composition v2,14,97,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,14,97,2,Rowing Machine,2,2000m,N/A,300s,5,DELOAD: 2 x 2000m at easy pace (2:05+ per 500m). Rest 5 min. Focus on technique and breathing.
Functional Body Composition v2,14,98,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
