Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Functional Body Composition v2,22,148,1,Leg Press,4,10-12,3-1-1-0,120s,6,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,22,148,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,6,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,22,148,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,6,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,22,148,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,6,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,22,148,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,6,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,22,149,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,22,149,2,Self-Powered Treadmill Sprints,3,20 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 3 sets x 20 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,22,150,1,Romanian Deadlift,4,8,3-1-1-0,120s,6,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,22,150,2,Lat Pulldown,4,10,3-1-1-0,90s,6,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,22,150,3,Seated Row Machine,3,12,3-1-1-0,90s,6,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,22,150,4,Cable Face Pulls,3,15,2-2-1-0,60s,6,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,22,150,5,Plank Hold,3,45s,N/A,60s,6,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,22,151,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,22,151,2,Steady Tempo Bike,1,20 min,N/A,,6,"Continuous steady effort for 20 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,22,152,1,Goblet Squat,4,12,3-1-1-0,90s,6,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,22,152,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,6,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,22,152,3,Cable Row,3,12,3-1-1-0,90s,6,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,22,152,4,Walking Lunges,3,12/leg,2-0-1-0,90s,6,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,22,152,5,Farmer Carry,3,40m,N/A,90s,6,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,22,153,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,22,153,2,Rowing Machine,3,2000m,N/A,240s,8,3 x 2000m at 2:00 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,22,154,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,23,155,1,Leg Press,4,10-12,3-1-1-0,120s,6.5,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,23,155,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,6.5,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,23,155,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,6.5,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,23,155,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,6.5,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,23,155,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,6.5,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,23,156,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,23,156,2,Air Bike Sprints,3,22 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 3 sets x 22 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,23,157,1,Romanian Deadlift,4,8,3-1-1-0,120s,6.5,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,23,157,2,Lat Pulldown,4,10,3-1-1-0,90s,6.5,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,23,157,3,Seated Row Machine,3,12,3-1-1-0,90s,6.5,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,23,157,4,Cable Face Pulls,3,15,2-2-1-0,60s,6.5,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,23,157,5,Plank Hold,3,45s,N/A,60s,6.5,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,23,158,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,23,158,2,Steady Tempo Treadmill Run,1,23 min,N/A,,6,"Continuous steady effort for 23 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,23,159,1,Goblet Squat,4,12,3-1-1-0,90s,6.5,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,23,159,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,6.5,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,23,159,3,Cable Row,3,12,3-1-1-0,90s,6.5,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,23,159,4,Walking Lunges,3,12/leg,2-0-1-0,90s,6.5,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,23,159,5,Farmer Carry,3,40m,N/A,90s,6.5,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,23,160,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,23,160,2,Rowing Machine,3,2000m,N/A,240s,8,3 x 2000m at 1:59 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,23,161,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,24,162,1,Leg Press,4,10-12,3-1-1-0,120s,7,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,24,162,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,7,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,24,162,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,7,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,24,162,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,7,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,24,162,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,7,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,24,163,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,24,163,2,Self-Powered Treadmill Sprints,4,22 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 4 sets x 22 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,24,164,1,Romanian Deadlift,4,8,3-1-1-0,120s,7,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,24,164,2,Lat Pulldown,4,10,3-1-1-0,90s,7,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,24,164,3,Seated Row Machine,3,12,3-1-1-0,90s,7,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,24,164,4,Cable Face Pulls,3,15,2-2-1-0,60s,7,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,24,164,5,Plank Hold,3,45s,N/A,60s,7,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,24,165,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,24,165,2,Steady Tempo Bike,1,26 min,N/A,,6,"Continuous steady effort for 26 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,24,166,1,Goblet Squat,4,12,3-1-1-0,90s,7,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,24,166,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,7,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,24,166,3,Cable Row,3,12,3-1-1-0,90s,7,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,24,166,4,Walking Lunges,3,12/leg,2-0-1-0,90s,7,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,24,166,5,Farmer Carry,3,40m,N/A,90s,7,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,24,167,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,24,167,2,Rowing Machine,4,2000m,N/A,240s,8,4 x 2000m at 1:58 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,24,168,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,25,169,1,Leg Press,4,10-12,3-1-1-0,120s,7.5,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,25,169,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,7.5,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,25,169,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,7.5,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,25,169,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,7.5,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,25,169,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,7.5,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,25,170,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,25,170,2,Air Bike Sprints,4,24 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 4 sets x 24 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,25,171,1,Romanian Deadlift,4,8,3-1-1-0,120s,7.5,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,25,171,2,Lat Pulldown,4,10,3-1-1-0,90s,7.5,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,25,171,3,Seated Row Machine,3,12,3-1-1-0,90s,7.5,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,25,171,4,Cable Face Pulls,3,15,2-2-1-0,60s,7.5,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,25,171,5,Plank Hold,3,45s,N/A,60s,7.5,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,25,172,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,25,172,2,Steady Tempo Treadmill Run,1,29 min,N/A,,7,"Continuous steady effort for 29 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,25,173,1,Goblet Squat,4,12,3-1-1-0,90s,7.5,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,25,173,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,7.5,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,25,173,3,Cable Row,3,12,3-1-1-0,90s,7.5,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,25,173,4,Walking Lunges,3,12/leg,2-0-1-0,90s,7.5,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,25,173,5,Farmer Carry,3,40m,N/A,90s,7.5,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,25,174,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,25,174,2,Rowing Machine,4,2000m,N/A,240s,8,4 x 2000m at 1:57 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,25,175,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,26,176,1,Leg Press,4,10-12,3-1-1-0,120s,8,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,26,176,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,8,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,26,176,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,8,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,26,176,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,8,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,26,176,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,8,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,26,177,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,26,177,2,Self-Powered Treadmill Sprints,5,24 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 5 sets x 24 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,26,178,1,Romanian Deadlift,4,8,3-1-1-0,120s,8,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,26,178,2,Lat Pulldown,4,10,3-1-1-0,90s,8,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,26,178,3,Seated Row Machine,3,12,3-1-1-0,90s,8,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,26,178,4,Cable Face Pulls,3,15,2-2-1-0,60s,8,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,26,178,5,Plank Hold,3,45s,N/A,60s,8,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,26,179,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,26,179,2,Steady Tempo Bike,1,32 min,N/A,,7,"Continuous steady effort for 32 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,26,180,1,Goblet Squat,4,12,3-1-1-0,90s,8,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,26,180,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,8,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,26,180,3,Cable Row,3,12,3-1-1-0,90s,8,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,26,180,4,Walking Lunges,3,12/leg,2-0-1-0,90s,8,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,26,180,5,Farmer Carry,3,40m,N/A,90s,8,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,26,181,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,26,181,2,Rowing Machine,5,2000m,N/A,240s,8,5 x 2000m at 1:57 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,26,182,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,27,183,1,Leg Press,4,10-12,3-1-1-0,120s,8,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,27,183,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,8,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,27,183,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,8,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,27,183,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,8,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,27,183,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,8,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,27,184,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,27,184,2,Air Bike Sprints,5,25 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 5 sets x 25 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,27,185,1,Romanian Deadlift,4,8,3-1-1-0,120s,8,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,27,185,2,Lat Pulldown,4,10,3-1-1-0,90s,8,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,27,185,3,Seated Row Machine,3,12,3-1-1-0,90s,8,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,27,185,4,Cable Face Pulls,3,15,2-2-1-0,60s,8,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,27,185,5,Plank Hold,3,45s,N/A,60s,8,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,27,186,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,27,186,2,Steady Tempo Treadmill Run,1,35 min,N/A,,7,"Continuous steady effort for 35 minutes at RPE 7. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,27,187,1,Goblet Squat,4,12,3-1-1-0,90s,8,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,27,187,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,8,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
Functional Body Composition v2,27,187,3,Cable Row,3,12,3-1-1-0,90s,8,"Pull to navel, chest up. Squeeze at the back, controlled release."
Functional Body Composition v2,27,187,4,Walking Lunges,3,12/leg,2-0-1-0,90s,8,"Long stride, upright torso. Control the descent, drive through front heel."
Functional Body Composition v2,27,187,5,Farmer Carry,3,40m,N/A,90s,8,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
Functional Body Composition v2,27,188,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,27,188,2,Rowing Machine,5,2000m,N/A,240s,8,5 x 2000m at 1:55 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
Functional Body Composition v2,27,189,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
Functional Body Composition v2,28,190,1,Leg Press,3,10,3-1-1-0,120s,5,70% of working weight. Focus on perfect form and control.
Functional Body Composition v2,28,190,2,Dumbbell Bench Press,3,8,3-1-1-0,90s,5,"70% of working weight. Slow tempo, technique focus."
Functional Body Composition v2,28,190,3,Cable Chest Fly,2,12,3-1-1-0,60s,5,"Light weight, focus on mind-muscle connection."
Functional Body Composition v2,28,190,4,Plank Hold,2,30s,N/A,60s,5,Easy hold. Focus on breathing and bracing.
Functional Body Composition v2,28,191,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,28,191,2,Air Bike or Self-Powered Treadmill Sprints,2,15 kcal,N/A,180s,7,"DELOAD: Half volume, no all-out effort. 70% intensity. Focus on form and breathing."
Functional Body Composition v2,28,192,1,Romanian Deadlift,3,8,3-1-1-0,120s,5,70% of working weight. Perfect hip hinge pattern.
Functional Body Composition v2,28,192,2,Lat Pulldown,3,10,3-1-1-0,90s,5,"70% of working weight. Full range of motion, slow negative."
Functional Body Composition v2,28,192,3,Cable Face Pulls,2,15,2-2-1-0,60s,5,Light. Shoulder health and mobility focus.
Functional Body Composition v2,28,192,4,Dead Hang,2,30s,N/A,60s,5,"Relax shoulders, decompress spine. Grip work."
Functional Body Composition v2,28,193,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,28,193,2,Easy Tempo Run or Bike,1,15 min,N/A,,5,"DELOAD: Easy continuous effort. 50% of normal volume. Keep heart rate low, focus on breathing rhythm."
Functional Body Composition v2,28,194,1,Goblet Squat,3,10,3-1-1-0,90s,5,"70% of working weight. Deep squat, focus on mobility."
Functional Body Composition v2,28,194,2,Incline Dumbbell Press,2,10,3-1-1-0,90s,5,Light. Technique and range of motion focus.
Functional Body Composition v2,28,194,3,Walking Lunges,2,10/leg,2-0-1-0,90s,5,Bodyweight or very light. Balance and stability focus.
Functional Body Composition v2,28,194,4,Farmer Carry,2,30m,N/A,90s,5,Moderate weight. Posture focus.
Functional Body Composition v2,28,195,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,28,195,2,Rowing Machine,2,2000m,N/A,300s,5,DELOAD: 2 x 2000m at easy pace (2:05+ per 500m). Rest 5 min. Focus on technique and breathing.
Functional Body Composition v2,28,196,REST,Rest Day,0,0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
